quarter_day_label,q1_1,q1_2,q1_3,q1_4,q1_5,q1_6,q1_7,q1_8,q1_9,q1_10,q1_11,q1_12,q1_13,q1_14,q1_15,q1_16,q1_17,q1_18,q1_19,q1_20,q1_21,q1_22,q1_23,q1_24,q1_25,q1_26,q1_27,q1_28,q1_29,q1_30,q1_31,q1_32,q1_33,q1_34,q1_35,q1_36,q1_37,q1_38,q1_39,q1_40,q1_41,q1_42,q1_43,q1_44,q1_45,q1_46,q1_47,q1_48,q1_49,q1_50,q1_51,q1_52,q1_53,q1_54,q1_55,q1_56,q1_57,q1_58,q1_59,q1_60,q1_61,q1_62,q1_63,q1_64,q1_65,q1_66,q1_67,q1_68,q1_69,q1_70,q1_71,q1_72,q1_73,q1_74,q1_75,q1_76,q1_77,q1_78,q1_79,q1_80,q1_81,q1_82,q1_83,q1_84,q1_85,q1_86,q1_87,q1_88,q1_89,q1_90,q1_91,q2_1,q2_2,q2_3,q2_4,q2_5,q2_6,q2_7,q2_8,q2_9,q2_10,q2_11,q2_12,q2_13,q2_14,q2_15,q2_16,q2_17,q2_18,q2_19,q2_20,q2_21,q2_22,q2_23,q2_24,q2_25,q2_26,q2_27,q2_28,q2_29,q2_30,q2_31,q2_32,q2_33,q2_34,q2_35,q2_36,q2_37,q2_38,q2_39,q2_40,q2_41,q2_42,q2_43,q2_44,q2_45,q2_46,q2_47,q2_48,q2_49,q2_50,q2_51,q2_52,q2_53,q2_54,q2_55,q2_56,q2_57,q2_58,q2_59,q2_60,q2_61,q2_62,q2_63,q2_64,q2_65,q2_66,q2_67,q2_68,q2_69,q2_70,q2_71,q2_72,q2_73,q2_74,q2_75,q2_76,q2_77,q2_78,q2_79,q2_80,q2_81,q2_82,q2_83,q2_84,q2_85,q2_86,q2_87,q2_88,q2_89,q2_90,q2_91,q2_92,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q3_7,q3_8,q3_9,q3_10,q3_11,q3_12,q3_13,q3_14,q3_15,q3_16,q3_17,q3_18,q3_19,q3_20,q3_21,q3_22,q3_23,q3_24,q3_25,q3_26,q3_27,q3_28,q3_29,q3_30,q3_31,q3_32,q3_33,q3_34,q3_35,q3_36,q3_37,q3_38,q3_39,q3_40,q3_41,q3_42,q3_43,q3_44,q3_45,q3_46,q3_47,q3_48,q3_49,q3_50,q3_51,q3_52,q3_53,q3_54,q3_55,q3_56,q3_57,q3_58,q3_59,q3_60,q3_61,q3_62,q3_63,q3_64,q3_65,q3_66,q3_67,q3_68,q3_69,q3_70,q3_71,q3_72,q3_73,q3_74,q3_75,q3_76,q3_77,q3_78,q3_79,q3_80,q3_81,q3_82,q3_83,q3_84,q3_85,q3_86,q3_87,q3_88,q3_89,q3_90,q3_91,q3_92
other_special_charges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
write_off,1222145,1143457,1207850,1271193,1256047,1364185,1057244,1105696,1332180,1467306,1321793,"1,128,932.00","1,164,822.00",1124462,1401065,1418783,1334407,1447402,1315466,1450879,1123740,1258457,1463457,1345491,1398130,1103964,1348545,1485522,1339758,1177578,1330146,1009657,1369242,1461145,1450403,1454017,1411819,1310806,1349829,1340508,1105231,1466396,1022089,1434458,1282291,1319951,1098075,1171467,1276527,1163604,1179019,1433175,1332337,1072420,1307960,1239621,1464067,1449226,1031288,1236538,1211740,1079512,1496762,1021724,1490353,1178383,1307461,1107226,1480703,1047172,1455443,1304323,1354032,1321582,1236227,1442946,1426302,1195918,1314904,1401810,1327362,1022520,1305870,1443929,1011617,1244350,1179474,1125508,722279,684332,660018,63558,78489,64641,86370,62430,66685,85823,79429,61404,81109,87998,84135,68345,77785,78542,72718,63314,76645,63128,68902,80260,68243,69412,66298,82738,60705,81379,62857,64430,83957,87485,85640,66536,73731,83707,63935,62183,73469,77615,75009,74305,82921,72932,82983,62287,71758,63505,74787,72584,75074,81047,60987,62044,61001,86167,87154,79909,69162,73352,69718,85454,77853,68308,70121,72166,59168,88032,61817,59276,83668,66958,86954,87447,66510,74843,62723,64956,66808,82474,73853,87448,65116,62537,75866,76842,59678,75212,59798,69375,72051,62503,154469,-1340628,-1810954,-1706079,-1737904,-1736480,-1453276,-1633054,-1909117,-1637047,-1857681,-1889756,-1707213,-1371791,-1398836,-1566424,-1418182,-1479056,-1387904,-1919405,-1610596,-1769132,-1411098,-1583734,-1522064,-1372101,-1933635,-1893810,-1849558,-1377611,-1838749,-1368380,-1933479,-1612992,-1815491,-1772026,-1636853,-1535456,-1971583,-1918996,-1702855,-1542388,-1756792,-1465535,-1644665,-1875917,-1770550,-1701977,-1481700,-1888559,-1723911,-1395230,-1551414,-1744639,-1637369,-1791674,-1593619,-1467605,-1602960,-1491893,-1635774,-1509075,-1933268,-1849799,-1379895,-1757476,-1389898,-1726501,-1908698,-1495757,-1458472,-1521820,-1415130,-1796376,-1942526,-1753420,-1671687,-1795119,-1940677,-1649817,-1816565,-1967675,-1467093,-1695639,-1362728,-1962417,-1461653,-1563886,-1340122,-1432672,-1878164,-1533265,-1356103
impairment_of_capital_assets,3974670,5153738,4240015,3704080,4583834,5234743,3792124,4214067,4813175,3811998,4263413,4605814,4729553,3930259,3742517,3878246,4350005,3641553,4289401,4978797,4632458,4862851,4413179,5137892,4315908,4801145,3945933,4622538,3569529,4472233,4763943,5175292,4476447,5001830,4034828,4038231,4881900,4484154,5257326,3845223,4320427,4090832,4039442,4683887,3942549,4356304,4805006,4054320,4188114,4595240,4109686,5097289,5004996,4974846,3566606,3604524,3541595,4655676,4400991,3611690,3726790,3920903,4607680,4811124,3839493,3910289,5208808,3572590,3596672,4709991,4770125,5080485,5163593,4745466,3573730,3530046,4028596,4129037,4975717,4549408,4078151,4914674,4866584,3904152,3633888,4196778,4629196,4756413,3908424,4573036,9299499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2832030,2845667,2763538,2585163,2931440,2253314,2516284,3030594,2693778,2889629,2216174,2129747,2500856,3038817,2534651,2660421,2847161,2200782,2168326,2845017,2639636,2971880,2956089,2196169,2630415,2961316,2678217,2864101,2905107,2875986,2090789,2231223,2590719,2386783,2545295,3015975,2463568,2911228,2563750,2583261,3029201,2561304,2689296,2481020,2993481,2151166,2883957,2256367,2969715,2411860,2550605,2575884,2843857,2249007,2473715,2708283,2201537,2113001,2578854,2471656,2342292,2736334,2720497,2064234,2377466,2431397,2396402,2963179,2122797,2260597,2721174,2635571,2921819,2172467,2291545,2740272,2637890,2047991,2145652,2655214,2180420,2061997,2243535,2193350,2047256,2487780,2565119,2172771,2166611,3021857,2245895,1835307
restructuring_and_m&a,-117330,-127491,-122758,-120440,-128889,-92992,-100881,-89790,-122992,-100820,-88136,"-97,623.00","-105,082.00",-89272,-95258,-96545,-109517,-126525,-99470,-87511,-111786,-106385,-110277,-96618,-126980,-128722,-109309,-113868,-129543,-94424,-97438,-104956,-121780,-127829,-95981,-120280,-121598,-95310,-89723,-115727,-126779,-97879,-92574,-127907,-112272,-94538,-130579,-119226,-99473,-108376,-109147,-106281,-127820,-125624,-122541,-88718,-110174,-101956,-118586,-113670,-90522,-104689,-103664,-118506,-110015,-128839,-99338,-120027,-87195,-112481,-105068,-125639,-105358,-93183,-110628,-93940,-92831,-90511,-89702,-108582,-128277,-122214,-127879,-121770,-102958,-122680,-117250,-93369,-120770,-98883,-87356,-81201,-106562,-101946,-78434,-79965,-114381,-95528,-81844,-94806,-81982,-85973,-101886,-92009,-109034,-93040,-107867,-100526,-98791,-95070,-86046,-99118,-113093,-95661,-111695,-100643,-89654,-83174,-111517,-98668,-101513,-96506,-102674,-81427,-96717,-113334,-81132,-105247,-90785,-113273,-108925,-82190,-82247,-109002,-102311,-103075,-98651,-102670,-92238,-114065,-85839,-87982,-81400,-84085,-77021,-111209,-107160,-101111,-81517,-101977,-81260,-100035,-102412,-91415,-102992,-94115,-82635,-90808,-97959,-108291,-105788,-80014,-96984,-85227,-97081,-81021,-91112,-109811,-93387,-100087,-110814,-97800,-90908,-98704,-83799,-93484,-95317,-110438,-84404,-95054,-102932,-82569,-90996,-3838,-3492,-4075,-3790,-4569,-4589,-4578,-3951,-4787,-3968,-3648,-4334,-4548,-4231,-4047,-4327,-4888,-3542,-3777,-4631,-3836,-3649,-4894,-4040,-3371,-4271,-4980,-4553,-4767,-4728,-3558,-3905,-4341,-3408,-4461,-4810,-4408,-4956,-4854,-5015,-3750,-3825,-3371,-3531,-3661,-3911,-4413,-3893,-4110,-4498,-3947,-3601,-3632,-3525,-3505,-3766,-3560,-3879,-3402,-4001,-4597,-3630,-3794,-3611,-4752,-4151,-4604,-3821,-3694,-3469,-3780,-3385,-3886,-3496,-3887,-3449,-3392,-4141,-4532,-3760,-3429,-3657,-3588,-4084,-3672,-4151,-3754,-4769,-4731,-4505,-3407,-17476
gain_on_sale_of_security,1029123,1008698,811579,790403,884751,787356,853390,841149,737386,1022288,939084,"795,512.00","785,933.00",890238,1004621,972823,851334,960025,881143,835517,700799,808111,928581,1023610,767418,712744,807021,920696,859686,736613,847051,1013937,1007734,760758,769276,719779,824079,1014964,1022912,893223,779600,923144,917687,950649,828451,1005927,811588,942996,718367,841772,858955,870512,837220,754909,733093,798797,700637,811979,744783,772196,1040684,951878,928522,864787,849913,898172,740887,984624,931547,1021279,795536,959008,982492,754297,908858,803954,782616,953792,844460,869284,768384,945971,741526,1018665,1011804,711265,1000661,900805,784930,798770,1172472,-158025,-175565,-181203,-159864,-217786,-191068,-163007,-174182,-227860,-205335,-231266,-169321,-188684,-159860,-222808,-196280,-171793,-161539,-205223,-191648,-195998,-208559,-210221,-186184,-199635,-160243,-180797,-189332,-202332,-176002,-178728,-233670,-224899,-161068,-163297,-165690,-186817,-221423,-235931,-182047,-180381,-196286,-227970,-178389,-171849,-193997,-165145,-204839,-174682,-223431,-182399,-208212,-158251,-233953,-234860,-218305,-180403,-185903,-185110,-189976,-212411,-226225,-178343,-233313,-201524,-172880,-202111,-234476,-198078,-194052,-180368,-178152,-159596,-211673,-171219,-195726,-229552,-193804,-212649,-197784,-208605,-219862,-181548,-223629,-234707,-176744,-226219,-231999,-175780,-193545,-181488,-368357,-147767,-164072,-118447,-137181,-121235,-153786,-139143,-150008,-138706,-161030,-136592,-117189,-125788,-126402,-157331,-159021,-141454,-159110,-128081,-145104,-117000,-126449,-159452,-152690,-129960,-163993,-155555,-134077,-168690,-132471,-155141,-122145,-123762,-150437,-117780,-119185,-124049,-155930,-127926,-120061,-144713,-163012,-139446,-145088,-143872,-126752,-173919,-148240,-150430,-144558,-152088,-118320,-159594,-137428,-155701,-153624,-157155,-122213,-141608,-172024,-168749,-174104,-169596,-117101,-122993,-151454,-116240,-161914,-150034,-161547,-163189,-120553,-156019,-166790,-136961,-118550,-155955,-173163,-132714,-145013,-135198,-166589,-118059,-151503,-122568,-157472,-173977,-144396,-144250,-116381,-165022,-259461
net_non_operating_interest_income_expense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40020,40020,40020,40020,40020,40020,40020,40020,40020,40020,40020,40020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45241,45241,45241,45241,45241,45241,45241,45241,45241,45241,0,0,0,0,0,0,0
total_other_finance_cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-40020,-40020,-40020,-40020,-40020,-40020,-40020,-40020,-40020,-40020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
interest_income_non_operating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
depreciation_and_amortization_in_income_statement,292692,226804,305900,262490,259143,276653,301881,256462,217049,262070,283799,"284,112.00","238,943.00",303499,298655,234032,290843,308126,235250,283633,209577,236153,251849,240928,308296,277001,281389,212338,301951,216990,299373,260881,260378,234691,294048,219470,217336,218008,209711,224430,311525,253993,237189,274117,226575,217964,258985,272408,260658,285851,292317,285722,248866,254059,267680,266780,223044,231650,209723,269137,219899,246539,282073,245710,279309,288952,280616,246536,211716,239803,277292,208448,240744,257017,270475,209602,255882,264785,244729,260648,284506,311282,280226,309060,303911,297455,224870,280553,281444,216585,280556,330322,284693,378533,371385,378094,345748,305370,361785,308958,291079,330223,359877,360805,289743,333519,290850,313735,388950,369929,351347,320967,273908,307190,321624,278828,313468,398156,390754,319077,325894,352382,281890,266803,372899,265938,379018,269575,293564,306164,302162,275760,369103,294830,271246,277376,303867,309823,291959,384162,349366,397225,270564,365655,332033,316258,380584,287741,278506,366154,367016,384591,380685,396672,356895,375582,357744,370026,310455,375541,329670,283839,305062,268147,326474,294432,323155,341140,377803,381080,324835,341481,391943,282029,277365,303846,316691,304786,379384,327899,337327,278206,563631,478920,670709,493554,552211,664729,607454,616349,487272,537280,507559,674822,493886,694216,492086,506450,516424,658592,666927,518824,631725,691911,696049,598077,680602,471133,624447,559300,600727,599979,612588,659043,512552,537002,669931,630563,552798,552301,635853,563680,661054,586504,521409,504475,602480,534053,523954,633810,679155,604864,597008,502961,554912,658638,686282,659431,614624,576626,640814,605625,592725,673656,593244,643909,546246,623764,659311,557028,496494,537318,487260,618902,472289,525023,518045,572129,676478,662984,605875,636643,673038,556267,510507,645240,647708,531469,486548,684848,639818,577232,556145,473201,23052
selling_general_and_administration,143347,125745,116559,148746,132403,116281,134492,129633,143694,149441,108998,"135,110.00","156,675.00",144633,130228,112333,148218,140634,141203,142419,149274,110549,146780,120756,127527,127554,154977,125908,116212,122133,122715,111974,141129,139965,125093,148078,125013,123633,125965,130433,121444,147441,118647,140825,113620,111097,121869,125271,147495,123725,135224,134498,140025,137954,120562,140273,138094,123388,138063,132402,130393,110420,131672,138240,132246,137549,128058,136178,149745,130625,125119,125116,130362,139191,122464,159573,127939,120541,132844,144079,146402,132013,147531,136503,119018,133794,157839,155116,134338,112950,383715,193938,203709,199185,181087,206529,172112,234141,203651,205250,166709,195677,175621,180567,167281,228820,181082,170130,174749,169579,220572,190229,225078,229340,221953,161395,234345,181405,163209,239340,171438,164789,189295,214964,220427,237481,196825,236805,193716,162647,168451,161315,178418,222184,201142,192832,228119,217052,202578,163414,179827,179548,162342,210292,225297,179437,181796,204299,167601,206544,191112,207501,207468,235303,238819,222732,203841,236616,186200,238925,197460,169894,226360,171214,201736,229689,195824,197927,176557,179107,231059,235830,219218,218122,210577,225528,197006,231139,175682,160652,173118,188655,326171,350793,400396,315764,425351,305130,415290,411215,301273,311472,424171,371919,344494,420756,318220,419454,341070,361494,306179,349376,400570,401578,302172,323510,306690,321929,446350,302797,339287,417329,435118,434859,353114,367576,410276,443006,337708,443007,418698,426499,434562,338715,330089,406939,336897,431872,396898,411455,411087,312189,419919,347033,442346,315350,306824,417154,313407,303462,384844,355048,310859,358548,329001,438789,444905,405173,433596,416043,326053,426065,412584,382995,401215,306108,305224,307619,368215,396440,347939,372082,376851,425275,299167,316828,388992,424051,378258,447791,439928,334516,305594,389486,430280
cost_of_revenue,644235,728808,687423,544573,568717,668568,571258,578248,508769,629031,557679,"688,118.00","582,180.00",721740,670007,659032,499352,516121,575233,565076,571670,508725,536907,530841,532337,579907,495639,603069,538920,611134,654525,575964,621297,711006,512298,602946,717013,718357,663560,493777,496987,653219,492140,620140,578788,656667,707146,717523,659853,586544,701486,625497,639564,730901,717951,690249,499873,705341,678414,732917,619504,524620,489709,569290,512605,557208,491598,591450,728383,727973,643463,635018,589693,602441,581257,676805,513609,640012,632520,580090,508232,663983,607891,633845,649281,602938,730999,597945,577735,498139,793604,451306,499396,518550,550936,587974,427129,529703,544954,464836,617925,583239,472748,435139,446880,536174,451617,516048,521319,538209,461428,556049,616988,483292,484480,600987,518912,438142,563840,590254,568533,636026,446992,486801,562278,521445,569098,469133,527689,492872,605158,451400,468997,624494,555728,517868,446742,504577,571859,564104,515421,634078,428089,597537,536878,504910,514835,587167,498060,481197,515941,591694,463049,507891,522667,614440,639034,523399,625852,579084,625285,640096,561002,598119,603075,525506,577067,621131,439365,607952,635231,587033,617338,488213,477346,565427,578801,565643,487114,505512,617226,460416,216631,696529,792759,778856,756013,639429,651355,611220,817548,663970,809951,644811,608459,733249,771494,814804,622920,848440,749960,585047,643076,574416,840437,692417,617164,847029,821539,664716,604401,681603,579770,574682,759515,696234,820352,700999,855338,623177,641142,574509,671126,854679,733203,848082,742652,708806,820047,747464,792109,735850,648929,817514,771633,587789,769279,835050,782509,664147,755228,686120,716941,726870,577127,702667,640811,772548,725709,686293,708464,785837,619648,687661,777503,658506,697508,779746,670738,765946,721220,694651,658166,599711,851149,799406,661975,831514,640289,805568,740323,620964,716339,802865,362891
total_revenue,920709,834821,1091139,960994,860350,1013574,946199,945318,819800,801069,741131,"1,073,190.00","754,026.00",802081,772373,789024,814906,1030636,1095003,797898,776932,1054841,985015,959519,738875,961592,764062,1004706,907169,993469,841753,1091411,948654,915034,1031167,743157,788127,810550,1013952,1028858,843252,980032,885501,776284,981786,851532,861848,781892,1100881,821300,1084685,1104543,1012271,1048885,848738,783711,1069291,1062106,970432,1020302,1042974,856507,1049997,764028,1085151,822738,984381,1007596,845877,776830,1064283,746330,1012712,952816,1058359,820185,979486,908252,1072133,924776,969045,791612,1054114,938715,1100764,767893,775897,950328,1020329,923162,709424,601017,490676,558439,481057,509677,473763,625767,524589,588784,585466,681298,471653,693210,584880,548848,644390,647833,480579,471878,572855,639882,581287,570606,566584,649004,562721,491919,487746,589907,577008,620825,578306,501312,526129,679127,463594,666803,676671,535802,626849,625171,479815,483146,667739,491217,492965,558517,529935,619288,583162,467844,581701,579922,524493,571092,623075,687417,627224,661131,569051,662400,625797,562361,511710,484412,556183,567945,580967,613380,624532,548893,564494,484368,600413,657361,513467,538474,648311,630296,562672,469463,536280,495297,661483,609233,653811,668895,552480,487216,483570,684726,1139964,764457,826560,662416,833150,639076,784287,764966,738786,662462,754815,653507,617149,821792,716904,847614,663118,816037,898040,801490,614856,635884,711587,647942,805791,816530,816101,830126,737167,749997,648592,895330,897671,830776,828620,625862,626721,606147,722254,781193,900639,686494,670924,667767,812593,891489,669975,820824,628812,680600,605078,774155,856917,879845,706981,820665,687954,766607,628959,664338,799143,658245,783083,789050,866639,782450,754576,837716,757097,804521,770222,868350,844878,686292,744616,861452,691061,698621,715665,730777,825676,804212,694299,763290,888954,662098,733931,776045,755997,777833,809996,757646,557230
invested_capital,1651968105,1650077893,1648187689,1646297491,1644407286,1642517086,1640626878,1638736673,1636846474,1634956271,1633066063,1631175865,1629285649,1627395452,1625505250,1623615041,1621724843,1619834633,1617944432,1616054224,1614164025,1612273819,1610383620,1608493412,1606603205,1604713002,1602822797,1600932599,1599042397,1597152186,1595261984,1593371777,1591481575,1589591373,1587701170,1585810962,1583920765,1582030559,1580140352,1578250149,1576359942,1574469733,1572579537,1570689332,1568799133,1566908924,1565018718,1563128516,1561238319,1559348111,1557457904,1555567704,1553677505,1551787289,1549897091,1548006881,1546116676,1544226477,1542336269,1540446070,1538555861,1536665668,1534775454,1532885249,1530995044,1529104849,1527214642,1525324436,1523434234,1521544029,1519653831,1517763622,1515873423,1513983216,1512093008,1510202810,1508312603,1506422408,1504532200,1502642001,1500751785,1498861585,1496971380,1495081176,1493190971,1491300766,1489410568,1487520363,1485630154,1483739958,1481849750,1481849748,1481986313,1482122866,1482259430,1482395993,1482532540,1482669107,1482805664,1482942225,1483078781,1483215343,1483351903,1483488460,1483625023,1483761585,1483898143,1484034703,1484171268,1484307820,1484444383,1484580941,1484717504,1484854052,1484990613,1485127171,1485263738,1485400299,1485536855,1485673409,1485809972,1485946529,1486083093,1486219645,1486356209,1486492774,1486629330,1486765885,1486902442,1487039004,1487175568,1487312121,1487448686,1487585240,1487721799,1487858360,1487994920,1488131485,1488268042,1488404594,1488541162,1488677717,1488814276,1488950841,1489087403,1489223952,1489360512,1489497068,1489633632,1489770191,1489906751,1490043308,1490179864,1490316430,1490452983,1490589544,1490726101,1490862660,1490999229,1491135781,1491272348,1491408899,1491545464,1491682022,1491818588,1491955140,1492091698,1492228262,1492364818,1492501381,1492637938,1492774497,1492911063,1493047613,1493184173,1493320734,1493457285,1493593855,1493730412,1493866969,1494003533,1494140094,1494276650,1494276648,1492407224,1490537783,1488668352,1486798922,1484929493,1483060049,1481190625,1479321192,1477451761,1475582331,1473712891,1471843465,1469974029,1468104590,1466235166,1464365739,1462496306,1460626869,1458757435,1456888003,1455018566,1453149133,1451279705,1449410274,1447540841,1445671410,1443801982,1441932545,1440063115,1438193681,1436324250,1434454817,1432585383,1430715955,1428846519,1426977090,1425107653,1423238212,1421368787,1419499349,1417629921,1415760483,1413891054,1412021630,1410152184,1408282763,1406413330,1404543896,1402674462,1400805028,1398935596,1397066163,1395196725,1393327302,1391457869,1389588434,1387718998,1385849568,1383980135,1382110704,1380241267,1378371833,1376502409,1374632978,1372763540,1370894112,1369024674,1367155237,1365285812,1363416378,1361546946,1359677516,1357808085,1355938642,1354069212,1352199784,1350330352,1348460920,1346591489,1344722066,1342852623,1340983195,1339113763,1337244320,1335374897,1333505468,1331636030,1329766597,1327897168,1326027726,1324158300
working_capital,510442453,509829124,509215807,508602488,507989169,507375846,506762526,506149211,505535888,504922566,504309246,503695922,503082599,502469281,501855963,501242647,500629319,500015999,499402684,498789357,498176044,497562723,496949400,496336082,495722760,495109442,494496108,493882793,493269477,492656161,492042835,491429508,490816195,490202873,489589560,488976236,488362909,487749595,487136267,486522951,485909626,485296310,484682986,484069664,483456355,482843018,482229706,481616386,481003062,480389748,479776427,479163098,478549777,477936463,477323141,476709813,476096502,475483177,474869856,474256534,473643215,473029904,472416580,471803257,471189933,470576623,469963297,469349976,468736653,468123328,467510013,466896696,466283362,465670050,465056726,464443405,463830087,463216762,462603441,461990123,461376799,460763481,460150163,459536835,458923528,458310200,457696888,457083555,456470242,455856924,455243600,455243602,454914685,454585772,454256863,453927948,453599034,453270133,452941210,452612300,452283385,451954468,451625555,451296650,450967738,450638824,450309906,449981005,449652085,449323173,448994262,448665355,448336430,448007518,447678617,447349695,447020789,446691874,446362958,446034043,445705137,445376221,445047306,444718393,444389476,444060573,443731657,443402745,443073826,442744921,442416009,442087103,441758182,441429272,441100356,440771448,440442527,440113616,439784707,439455793,439126883,438797966,438469055,438140135,437811230,437482319,437153397,436824498,436495586,436166664,435837756,435508839,435179934,434851016,434522102,434193188,433864278,433535364,433206459,432877540,432548619,432219713,431890803,431561886,431232970,430904064,430575153,430246238,429917317,429588410,429259499,428930589,428601681,428272760,427943847,427614937,427286027,426957113,426628205,426299287,425970372,425641464,425312550,425312558,424705977,424099388,423492819,422886234,422279648,421673061,421066485,420459908,419853324,419246749,418640164,418033580,417427000,416820415,416213840,415607259,415000684,414394100,413787521,413180936,412574356,411967788,411361194,410754614,410148029,409541462,408934874,408328289,407721707,407115131,406508547,405901965,405295381,404688808,404082227,403475644,402869065,402262477,401655908,401049320,400442742,399836152,399229570,398622998,398016416,397409837,396803246,396196668,395590092,394983503,394376927,393770351,393163762,392557190,391950606,391344035,390737438,390130872,389524284,388917699,388311124,387704544,387097966,386491374,385884799,385278214,384671640,384065062,383458471,382851889,382245311,381638735,381032155,380425565,379818989,379212409,378605831,377999254,377392665,376786088,376179504,375572927,374966342,374359768,373753187,373146604,372540017,371933444,371326858,370720287,370113700
